State,District,Population,Growth (%),Sex Ratio,Literacy (%)
Haryana,Rohtak,1061204,12.88,867,80.22
Chandigarh,Chandigarh,1055450,17.19,818,86.05
Madhya Pradesh,Mandla,1054905,17.97,1008,66.87
Jharkhand,Chatra,1042886,31.77,953,60.18
Haryana,Palwal,1042708,25.76,880,69.32
Assam,Lakhimpur,1042137,17.22,968,77.2
Orissa,Sambalpur,1041099,11.27,976,76.22
Rajasthan,Sirohi,1036346,21.76,940,55.25
Chhattisgarh,Mahasamund,1032754,20.05,1017,71.02
Jharkhand,Gumla,1025213,23.16,993,65.73
Madhya Pradesh,Jhabua,1025048,30.7,990,43.3
Karnataka,Chamarajanagar,1020791,5.73,993,61.43
Madhya Pradesh,Panna,1016520,18.67,905,64.79
Assam,Goalpara,1008183,22.64,964,67.37
Jammu and Kashmir,Baramula,1008039,19.45,885,64.63
Bihar,Lakhisarai,1000912,24.77,902,62.42
Himachal Pradesh,Mandi,999777,10.92,1007,81.53
Punjab,Moga,995746,11.28,893,70.68
Punjab,Mohali,994628,33.15,879,83.8
Uttar Pradesh,Chitrakoot,991730,29.43,879,65.05
Karnataka,Bangalore Rural,990923,16.45,946,77.93
Orissa,Rayagada,967911,16.46,1051,49.76
Haryana,Kurukshetra,964655,16.86,888,76.31
Orissa,Nayagarh,962789,11.37,915,80.42
Haryana,Jhajjar,958405,8.9,862,80.65
Assam,Morigaon,957423,23.34,967,68.03
Assam,Karbi Anglong,956313,17.58,951,69.25
Uttarakhand,Nainital,954605,25.13,934,83.88
Puducherry,Puducherry,950289,29.23,1029,85.44
Assam,Baksa,950075,10.74,974,69.25
Jharkhand,Ramgarh,949443,13.1,921,73.17
Haryana,Fatehabad,942011,16.85,902,67.92
Assam,Darrang,928500,22.19,954,63.08
Haryana,Mahendragarh,922088,13.48,895,77.72
Punjab,Muktsar,901896,16,896,65.81
Jharkhand,Pakur,900422,28.33,989,48.82
Haryana,Rewari,900332,17.64,898,80.99
Delhi,North Delhi,887978,13.62,869,86.85
Assam,Kokrajhar,887142,5.21,959,65.22
Tripura,South Tripura,876001,14.15,957,84.66
Uttar Pradesh,Mahoba,875958,23.64,878,65.27
Jammu and Kashmir,Kupwara,870354,33.82,835,64.51
Rajasthan,Pratapgarh,867848,22.78,983,55.97
Chhattisgarh,Jashpur,851669,14.6,1005,67.92
Maharashtra,Sindhudurg,849651,-2.21,1036,85.56
Madhya Pradesh,Ashoknagar,845071,22.66,904,66.42
Assam,Udalguri,831668,9.61,973,65.41
Madhya Pradesh,Neemuch,826067,13.77,954,70.8
Meghalaya,East Khasi Hills,825922,24.96,1011,84.15
Chhattisgarh,Kabirdham,822526,40.71,996,60.85
Goa,North Goa,818008,7.84,963,89.57
Kerala,Wayanad,817420,4.71,1035,89.03
Punjab,Kapurthala,815168,8.04,912,79.07
Himachal Pradesh,Shimla,814010,12.67,915,83.64
Gujarat,Tapi,807022,12.14,1007,68.26
Chhattisgarh,Dhamtari,799781,13.19,1010,78.36
Jharkhand,Jamtara,791042,21.12,954,64.59
Madhya Pradesh,Datia,786754,18.46,873,72.63
Assam,Nalbari,771639,11.99,949,78.63
Punjab,Mansa,769751,11.76,883,61.83
Madhya Pradesh,Burhanpur,757847,19.37,951,64.36
Tamil Nadu,Ariyalur,754894,8.54,1015,71.34
Jammu and Kashmir,Badgam,753745,24.14,894,56.08
Madhya Pradesh,Anuppur,749237,12.3,976,67.88
Chhattisgarh,Kanker,748941,15.06,1006,70.29
Assam,Bongaigaon,738804,20.59,966,69.74
Tamil Nadu,The Nilgiris,735394,-3.51,1042,85.2
Orissa,Kandhamal,733110,13.1,1037,64.13
